Year,Region,Vehicle,Distance
1996,Yorkshire and the Humber,buses_and_coaches,254.8
1996,Yorkshire and the Humber,LGVs,2435
1996,Yorkshire and the Humber,all_HGVs,1775.1
1996,Yorkshire and the Humber,all_motor_vehicles,22680.6
1996,South East,pedal_cycles,438.1
1996,South East,two_wheeled_motor_vehicles,414.6
1996,South East,cars_and_taxis,39510.5
1996,South East,buses_and_coaches,404.1
1996,South East,LGVs,4778
1996,South East,all_HGVs,2220.3
1996,South East,all_motor_vehicles,47327.5
1996,West Midlands,pedal_cycles,197.7
1996,West Midlands,two_wheeled_motor_vehicles,173.2
1996,West Midlands,cars_and_taxis,21808.6
1996,West Midlands,buses_and_coaches,321.9
1996,West Midlands,LGVs,2808.9
1996,West Midlands,all_HGVs,1845.7
1996,West Midlands,all_motor_vehicles,26958.4
1996,North East,pedal_cycles,87.8
1996,North East,two_wheeled_motor_vehicles,55.1
1996,North East,cars_and_taxis,8999.2
1996,North East,buses_and_coaches,186
1996,North East,LGVs,1104.9
1996,North East,all_HGVs,494.8
1996,North East,all_motor_vehicles,10840
1997,South West,pedal_cycles,229.1
1997,South West,two_wheeled_motor_vehicles,304.9
1997,South West,cars_and_taxis,21353
1997,South West,buses_and_coaches,273.4
1997,South West,LGVs,2769.6
1997,South West,all_HGVs,1448.2
1997,South West,all_motor_vehicles,26149
1997,East Midlands,pedal_cycles,203.5
1997,East Midlands,two_wheeled_motor_vehicles,178.3
1997,East Midlands,cars_and_taxis,17674.4
1997,East Midlands,buses_and_coaches,210.6
1997,East Midlands,LGVs,2445.5
1997,East Midlands,all_HGVs,1846.7
1997,East Midlands,all_motor_vehicles,22355.6
1997,Scotland,pedal_cycles,145.9
1997,Scotland,two_wheeled_motor_vehicles,130.2
1997,Scotland,cars_and_taxis,19200.4
1997,Scotland,buses_and_coaches,370.7
1997,Scotland,LGVs,2662
1997,Scotland,all_HGVs,1464.3
1997,Scotland,all_motor_vehicles,23827.6
1997,Wales,pedal_cycles,81.2
1997,Wales,two_wheeled_motor_vehicles,110.4
1997,Wales,cars_and_taxis,12227.9
1997,Wales,buses_and_coaches,174.7
1997,Wales,LGVs,1693.6
1997,Wales,all_HGVs,817.3
1997,Wales,all_motor_vehicles,15023.8
1997,North West,pedal_cycles,255.8
1997,North West,two_wheeled_motor_vehicles,203.9
1997,North West,cars_and_taxis,25620.9
1997,North West,buses_and_coaches,374
1997,North West,LGVs,3223
1997,North West,all_HGVs,2068.2
1997,North West,all_motor_vehicles,31490
1997,London,pedal_cycles,289.1
1997,London,two_wheeled_motor_vehicles,398.6
1997,London,cars_and_taxis,16229.4
1997,London,buses_and_coaches,315
1997,London,LGVs,2105.3
1997,London,all_HGVs,646.1
1997,London,all_motor_vehicles,19694.3
1997,East of England,pedal_cycles,370.9
1997,East of England,two_wheeled_motor_vehicles,280.6
1997,East of England,cars_and_taxis,25046.5
1997,East of England,buses_and_coaches,282
1997,East of England,LGVs,3545.3
1997,East of England,all_HGVs,1918
1997,East of England,all_motor_vehicles,31072.4
1997,Yorkshire and the Humber,pedal_cycles,235.8
1997,Yorkshire and the Humber,two_wheeled_motor_vehicles,174.4
1997,Yorkshire and the Humber,cars_and_taxis,18303
1997,Yorkshire and the Humber,buses_and_coaches,258.7
1997,Yorkshire and the Humber,LGVs,2552.8
1997,Yorkshire and the Humber,all_HGVs,1813.3
1997,Yorkshire and the Humber,all_motor_vehicles,23102.2
1997,South East,pedal_cycles,438.3
1997,South East,two_wheeled_motor_vehicles,437.9
1997,South East,cars_and_taxis,40295.1
1997,South East,buses_and_coaches,420.1
1997,South East,LGVs,5055.8
1997,South East,all_HGVs,2286.9
1997,South East,all_motor_vehicles,48495.8
1997,West Midlands,pedal_cycles,198.1
1997,West Midlands,two_wheeled_motor_vehicles,183.6
1997,West Midlands,cars_and_taxis,22186.4
1997,West Midlands,buses_and_coaches,330.4
1997,West Midlands,LGVs,2951.8
1997,West Midlands,all_HGVs,1880.4
1997,West Midlands,all_motor_vehicles,27532.7
1997,North East,pedal_cycles,88.4
1997,North East,two_wheeled_motor_vehicles,58.8
1997,North East,cars_and_taxis,9159.4
1997,North East,buses_and_coaches,193.2
1997,North East,LGVs,1166.1
1997,North East,all_HGVs,497.6
1997,North East,all_motor_vehicles,11075.1
1998,South West,pedal_cycles,223.8
1998,South West,two_wheeled_motor_vehicles,312.5
1998,South West,cars_and_taxis,21679.4
1998,South West,buses_and_coaches,296.4
1998,South West,LGVs,2855.3
1998,South West,all_HGVs,1529.6
1998,South West,all_motor_vehicles,26673.2
1998,East Midlands,pedal_cycles,197
1998,East Midlands,two_wheeled_motor_vehicles,182.3
1998,East Midlands,cars_and_taxis,17935
1998,East Midlands,buses_and_coaches,211.6
1998,East Midlands,LGVs,2534.3
1998,East Midlands,all_HGVs,1942.8
1998,East Midlands,all_motor_vehicles,22806.1
1998,Scotland,pedal_cycles,141.6
1998,Scotland,two_wheeled_motor_vehicles,134.9
1998,Scotland,cars_and_taxis,19358.4
1998,Scotland,buses_and_coaches,373.7
1998,Scotland,LGVs,2831.5
1998,Scotland,all_HGVs,1498.6
1998,Scotland,all_motor_vehicles,24197.1
1998,Wales,pedal_cycles,78.2
1998,Wales,two_wheeled_motor_vehicles,113.9
1998,Wales,cars_and_taxis,12320.6
1998,Wales,buses_and_coaches,171.6
1998,Wales,LGVs,1768.2
1998,Wales,all_HGVs,845
1998,Wales,all_motor_vehicles,15219.3
1998,North West,pedal_cycles,249.9
1998,North West,two_wheeled_motor_vehicles,213.7
1998,North West,cars_and_taxis,26030.1
1998,North West,buses_and_coaches,379
1998,North West,LGVs,3372.7
1998,North West,all_HGVs,2105
1998,North West,all_motor_vehicles,32100.5
1998,London,pedal_cycles,274.4
1998,London,two_wheeled_motor_vehicles,406.5
1998,London,cars_and_taxis,16283.3
1998,London,buses_and_coaches,317.4
1998,London,LGVs,2113.8
1998,London,all_HGVs,698.6
1998,London,all_motor_vehicles,19819.7
1998,East of England,pedal_cycles,359
1998,East of England,two_wheeled_motor_vehicles,295.2
1998,East of England,cars_and_taxis,25241.9
1998,East of England,buses_and_coaches,285.2
1998,East of England,LGVs,3747.1
1998,East of England,all_HGVs,1965.8
1998,East of England,all_motor_vehicles,31535.3
1998,Yorkshire and the Humber,pedal_cycles,228.6
1998,Yorkshire and the Humber,two_wheeled_motor_vehicles,180.8
1998,Yorkshire and the Humber,cars_and_taxis,18646.6
1998,Yorkshire and the Humber,buses_and_coaches,259.4
1998,Yorkshire and the Humber,LGVs,2679
1998,Yorkshire and the Humber,all_HGVs,1843.4
1998,Yorkshire and the Humber,all_motor_vehicles,23609.2
1998,South East,pedal_cycles,427
1998,South East,two_wheeled_motor_vehicles,462.2
1998,South East,cars_and_taxis,41040
1998,South East,buses_and_coaches,436.2
1998,South East,LGVs,5315.6
